candidate_id,ticker,report_year,scope,doc_id,table_id,row_idx,col_idx,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score,source_type,source_id,computed_answer,value,label,raw
c0001,ASM,2022.0,consolidated,ASM_financial_statements_2022_consolidated,4,10,3,II. Tài sản cố định,Số cuối năm | 9.837.718.697.357 | 53.765.265.172,"n empty string. CÔNG TY CỔ PHẦN TẬP ĐOÀN SAO MAI Báo cáo tài chính hợp nhất 326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An GiangCho năm tài chính 2022 kết thúc ngày 31/12/2022 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2022 Đơn vị tính: VND",6.845.658.965.485,6845658965485.0,1.0,6845658965485.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s1,88.04767500244215,,,
c0002,ASM,2023.0,consolidated,ASM_financial_statements_2023_consolidated,11,10,3,II. Tài sản cố định,Số cuối năm | 9.217.322.907.487 | 35.363.850.763,"===== CÔNG TY CÓ PHẦN TẬP ĐOÀN SAO MAI Báo cáo tài chính hợp nhất 326 Hùng Vương, P. Mỹ Long, Tp. Long Xuyên, Tinh. An Giang. Năm tài chính 2023 kết thúc tại ngày 31/12/2023 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2023 Đơn vị tính: VND",6.560.647.417.672,6560647417672.0,1.0,6560647417672.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s2,,,,
c0003,DBC,2022.0,consolidated,DBC_financial_statements_2022_consolidated,3,22,3,II. Tài sản cố định,Số cuối năm | 7.065.129.967.455 | 627.011.780.110,===== PAGE 10 ===== Công ty Cổ phần Tập đoàn Dabaco Việt Nam B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT ngày 31 tháng 12 năm 2022 Đơn vị tính: VND,4.301.764.720.167,4301764720167.0,1.0,4301764720167.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s3,,,,
c0004,DBC,2023.0,consolidated,DBC_financial_statements_2023_consolidated,3,22,3,II. Tài sản cố định,Số cuối năm | 7.101.240.626.454 | 592.137.027.608,===== PAGE 10 ===== Công ty Cổ phần Tập đoàn Dabaco Việt Nam B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT ngày 31 tháng 12 năm 2023 Đơn vị tính: VND,5.148.429.144.344,5148429144344.0,1.0,5148429144344.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s4,,,,
c0005,MML,2022.0,consolidated,MML_financial_statements_2022_consolidated,7,5,3,Tài sản cố định,31/12/2022 VND | 9.370.969.975.485 | 1.017.752.994.500,PAGE 9 ===== C Công ty Cổ phần Masan MEATLife và các công ty con Băng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 (tiếp theo) Mẫu B 01 – DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),5.369.717.367.506,5369717367506.0,1.0,5369717367506.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s5,,,,
c0006,MML,2023.0,consolidated,MML_financial_statements_2023_consolidated,2,5,3,Tài sản cố định,31/12/2023 VND | 7.981.366.190.590 | 23.010.887.366,= PAGE 8 ===== Công ty Cổ phần Masan MEATLife và các công ty con Băng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),5.147.074.591.556,5147074591556.0,1.0,5147074591556.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s6,,,,
c0007,MPC,2022.0,consolidated,MPC_financial_statements_2022_consolidated,8,4,3,Tài sản cố định,31/12/2022 VND | 3.076.584.828.663 | -,PAGE 9 ===== Công ty Cổ phần Tập đoàn Thủy sản Minh Phú và các công ty con Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),1.611.939.538.828,1611939538828.0,1.0,1611939538828.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s7,,,,
c0008,MPC,2023.0,consolidated,MPC_financial_statements_2023_consolidated,9,2,3,Tài sản cố định,31/12/2023 VND | 3.318.078.518.480,== Công ty Cổ phần Tập đoàn Thủy sản Minh Phú và các công ty con Băng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023 (tiếp theo) Mãu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),1.486.449.179.873,1486449179873.0,1.0,1486449179873.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s8,,,,
c0009,MSN,2022.0,consolidated,MSN_financial_statements_2022_consolidated,3,5,3,Tài sản cố định,31/12/2022 Triệu VND | 93.668.191 | 2.113.762,===== PAGE 9 ===== Công ty Cổ phần Tập đoàn Masan và các công ty con Băng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 (tiếp theo),43.535.355,43535355.0,1000000.0,43535355000000.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s9,,,,
c0010,MSN,2023.0,consolidated,MSN_financial_statements_2023_consolidated,3,5,3,Tài sản cố định,31/12/2023 Triệu VND | 103.619.995 | 11.210.955,===== PAGE 8 ===== CÔNG TY CÓ PHẦN TẬP ĐOÀN MASAN VÀ CÁC CÔNG TY CON Mẫu số B 01 – DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),42.885.823,42885823.0,1000000.0,42885823000000.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s10,,,,
