value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer,candidate_id,ticker,report_year,scope,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score
7101278142672.0,CRE_financial_statements_2023_consolidated,5,39,3,TỔNG CỘNG TÀI SẢN,7.101.278.142.672,PanelCell,s1,26.44044716225773,,,,,,,,,,,,,
1480743623283.0,CRE_financial_statements_2023_consolidated,6,2,3,C. NỘ PHẢI TRẢ,1.480.743.623.283,PanelCell,s2,,,,,,,,,,,,,,
556050467233.0,CRE_financial_statements_2023_consolidated,5,13,3,IV. Hàng tồn kho,556.050.467.233,PanelCell,s3,,,,,,,,,,,,,,
8296949220116.0,HPX_financial_statements_2023_consolidated,5,43,3,TỔNG CỘNG TÀI SẢN (270 = 100+200),8.296.949.220.116,PanelCell,s4,,,,,,,,,,,,,,
4709181848137.0,HPX_financial_statements_2023_consolidated,6,1,4,NỘ PHẢI TRẢ(300=310+330),4.709.181.848.137,PanelCell,s5,,,,,,,,,,,,,,
2980336550168.0,HPX_financial_statements_2023_consolidated,5,14,3,IV. Hàng tồn kho,2.980.336.550.168,PanelCell,s6,,,,,,,,,,,,,,
33434220275901.0,KBC_financial_statements_2023_consolidated,7,24,3,TỔNG CỘNG TÀI SẢN,33.434.220.275.901,PanelCell,s7,,,,,,,,,,,,,,
13213347571485.0,KBC_financial_statements_2023_consolidated,8,1,3,C. NỘ PHẢI TRẢ,13.213.347.571.485,PanelCell,s8,,,,,,,,,,,,,,
12218764105774.0,KBC_financial_statements_2023_consolidated,6,15,3,IV. Hàng tồn kho,12.218.764.105.774,PanelCell,s9,,,,,,,,,,,,,,
6390734409707.0,KHG_financial_statements_2023_consolidated,5,32,3,TỔNG CỘNG TÀI SẢN,6.390.734.409.707,PanelCell,s10,,,,,,,,,,,,,,
1225526397420.0,KHG_financial_statements_2023_consolidated,6,1,3,C - NỘ PHẢI TRẢ,1.225.526.397.420,PanelCell,s11,,,,,,,,,,,,,,
210627541427.0,KHG_financial_statements_2023_consolidated,5,11,3,IV. Hàng tồn kho,210.627.541.427,PanelCell,s12,,,,,,,,,,,,,,
241486379543125.0,NVL_financial_statements_2023_consolidated,7,28,3,TỔNG TÀI SẢN,241.486.379.543.125,PanelCell,s13,,,,,,,,,,,,,,
196183529500722.0,NVL_financial_statements_2023_consolidated,8,2,3,NỘ PHẢI TRẢ,196.183.529.500.722,PanelCell,s14,,,,,,,,,,,,,,
138935271807965.0,NVL_financial_statements_2023_consolidated,6,14,3,Hàng tồn kho,138.935.271.807.965,PanelCell,s15,,,,,,,,,,,,,,
23197432593340.0,SNZ_financial_statements_2023_consolidated,6,26,3,TỔNG CỘNG TÀI SẢN,23.197.432.593.340,PanelCell,s16,,,,,,,,,,,,,,
13091625184629.0,SNZ_financial_statements_2023_consolidated,7,1,3,C. NỘ PHẢI TRẢ,13.091.625.184.629,PanelCell,s17,,,,,,,,,,,,,,
2154975430346.0,SNZ_financial_statements_2023_consolidated,5,14,3,IV. Hàng tồn kho,2.154.975.430.346,PanelCell,s18,,,,,,,,,,,,,,
13200834908506.0,SSH_financial_statements_2023_consolidated,4,23,4,TỔNG CỘNG TÀI SẢN (270=100+200),13.200.834.908.506,PanelCell,s19,,,,,,,,,,,,,,
7360388041959.0,SSH_financial_statements_2023_consolidated,5,1,4,NỘ PHẢI TRẢ,7.360.388.041.959,PanelCell,s20,,,,,,,,,,,,,,
888630221242.0,SSH_financial_statements_2023_consolidated,3,13,4,Hàng tồn kho,888.630.221.242,PanelCell,s21,,,,,,,,,,,,,,
667655767000000.0,VIC_financial_statements_2023_consolidated,7,31,3,TỔNG CỘNG TÀI SẢN,667.655.767,PanelCell,s22,,,,,,,,,,,,,,
519434081000000.0,VIC_financial_statements_2023_consolidated,8,1,3,C. NỘ PHẢI TRẢ,519.434.081,PanelCell,s23,,,,,,,,,,,,,,
92623746000000.0,VIC_financial_statements_2023_consolidated,6,14,3,IV. Hàng tồn kho,92.623.746,PanelCell,s24,,,,,,,,,,,,,,
12630858055179.0,VPI_financial_statements_2023_consolidated,6,24,3,TỔNG CỘNG TÀI SẢN,12.630.858.055.179,PanelCell,s25,,,,,,,,,,,,,,
8564228587426.0,VPI_financial_statements_2023_consolidated,7,1,3,C. NỘ PHẢI TRẢ,8.564.228.587.426,PanelCell,s26,,,,,,,,,,,,,,
3696784746577.0,VPI_financial_statements_2023_consolidated,5,13,3,IV. Hàng tồn kho,3.696.784.746.577,PanelCell,s27,,,,,,,,,,,,,,
47653731000000.0,VRE_financial_statements_2023_consolidated,4,21,3,TỔNG TÀI SẢN (270 = 100 + 200),47.653.731,PanelCell,s28,,,,,,,,,,,,,,
9826878000000.0,VRE_financial_statements_2023_consolidated,5,2,3,NỘ PHẢI TRẢ (300 = 310 + 330),9.826.878,PanelCell,s29,,,,,,,,,,,,,,
