value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
10625571036083.0,HPG_financial_statements_2017_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),10.625.571.036.083,PanelCell,s1,9.036618300654403
46161691614304.0,HPG_financial_statements_2017_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),46.161.691.614.304,PanelCell,s2,
6058322352370.0,HPG_financial_statements_2017_consolidated,8,17,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,6.058.322.352.370,PanelCell,s3,
8014756586048.0,HPG_financial_statements_2017_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),8.014.756.586.048,PanelCell,s4,
32397580211910.0,HPG_financial_statements_2017_consolidated,5,20,3,VỐN CHỦ SỞ HỮU (400 = 410),32.397.580.211.910,PanelCell,s5,
11670832231074.0,HPG_financial_statements_2018_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),11.670.832.231.074,PanelCell,s6,
55836458379759.0,HPG_financial_statements_2018_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),55.836.458.379.759,PanelCell,s7,
7642344150731.0,HPG_financial_statements_2018_consolidated,8,19,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,7.642.344.150.731,PanelCell,s8,
8600550706227.0,HPG_financial_statements_2018_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),8.600.550.706.227,PanelCell,s9,
40622949840810.0,HPG_financial_statements_2018_consolidated,5,21,3,VỐN CHỦ SỞ HỮU (400 = 410),40.622.949.840.810,PanelCell,s10,
11185372222137.0,HPG_financial_statements_2019_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),11.185.372.222.137,PanelCell,s11,
63658192673791.0,HPG_financial_statements_2019_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),63.658.192.673.791,PanelCell,s12,
7715168694116.0,HPG_financial_statements_2019_consolidated,8,20,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,7.715.168.694.116,PanelCell,s13,
7578248236229.0,HPG_financial_statements_2019_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),7.578.248.236.229,PanelCell,s14,
47786636143695.0,HPG_financial_statements_2019_consolidated,5,1,3,VỐN CHỦ SỞ HỮU (400 = 410),47.786.636.143.695,PanelCell,s15,
18904049904154.0,HPG_financial_statements_2020_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),18.904.049.904.154,PanelCell,s16,
90118503426717.0,HPG_financial_statements_2020_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),90.118.503.426.717,PanelCell,s17,
11587249912974.0,HPG_financial_statements_2020_consolidated,8,20,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,11.587.249.912.974,PanelCell,s18,
13506164056907.0,HPG_financial_statements_2020_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),13.506.164.056.907,PanelCell,s19,
59219786306111.0,HPG_financial_statements_2020_consolidated,5,1,3,VỐN CHỦ SỞ HỮU (400 = 410),59.219.786.306.111,PanelCell,s20,
41108409532992.0,HPG_financial_statements_2021_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),41.108.409.532.992,PanelCell,s21,
149679789979345.0,HPG_financial_statements_2021_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),149.679.789.979.345,PanelCell,s22,
26720913303108.0,HPG_financial_statements_2021_consolidated,8,18,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,26.720.913.303.108,PanelCell,s23,
34520954931298.0,HPG_financial_statements_2021_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),34.520.954.931.298,PanelCell,s24,
90780625511439.0,HPG_financial_statements_2021_consolidated,5,1,3,VỐN CHỦ SỞ HỮU (400 = 410),90.780.625.511.439,PanelCell,s25,
16763426239552.0,HPG_financial_statements_2022_consolidated,6,5,3,Lợi nhuận gộp (20 = 10 - 11),16.763.426.239.552,PanelCell,s26,
141409274460632.0,HPG_financial_statements_2022_consolidated,6,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),141.409.274.460.632,PanelCell,s27,
12277636676507.0,HPG_financial_statements_2022_consolidated,8,20,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,12.277.636.676.507,PanelCell,s28,
8444429054516.0,HPG_financial_statements_2022_consolidated,6,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),8.444.429.054.516,PanelCell,s29,
96112939615783.0,HPG_financial_statements_2022_consolidated,5,1,3,VỐN CHỦ SỞ HỮU (400 = 410),96.112.939.615.783,PanelCell,s30,
12937840695572.0,HPG_financial_statements_2023_consolidated,5,5,3,Lợi nhuận gộp (20 = 10 - 11),12.937.840.695.572,PanelCell,s31,
118953027893654.0,HPG_financial_statements_2023_consolidated,5,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),118.953.027.893.654,PanelCell,s32,
8643030777026.0,HPG_financial_statements_2023_consolidated,7,18,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,8.643.030.777.026,PanelCell,s33,
6800388315081.0,HPG_financial_statements_2023_consolidated,5,19,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),6.800.388.315.081,PanelCell,s34,
102836419239379.0,HPG_financial_statements_2023_consolidated,4,1,3,VỐN CHỦ SỞ HỮU (400 = 410),102.836.419.239.379,PanelCell,s35,
18497549127684.0,HPG_financial_statements_2024_consolidated,7,5,3,Lợi nhuận gộp (20 = 10 - 11),18.497.549.127.684,PanelCell,s36,
138855112131387.0,HPG_financial_statements_2024_consolidated,7,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),138.855.112.131.387,PanelCell,s37,
6608320655215.0,HPG_financial_statements_2024_consolidated,9,21,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,6.608.320.655.215,PanelCell,s38,
12020023621271.0,HPG_financial_statements_2024_consolidated,7,18,3,Lợi nhuận sau thuế TNDN (mang sang trang sau) (60 = 50 - 51 - 52),12.020.023.621.271,PanelCell,s39,
114647457983699.0,HPG_financial_statements_2024_consolidated,6,1,3,VỐN CHỦ SỞ HỮU (400 = 410),114.647.457.983.699,PanelCell,s40,
