value,doc_id,table_id,row_idx,col_idx,label,raw,ticker,year,raw_column,source_id,computed_answer
12013117890000.0,ASM_financial_statements_2024_consolidated,14,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,12.013.117.890.000,ASM,2024,net_revenue,s1,0.9124114887585071
218760025641.0,ASM_financial_statements_2024_consolidated,14,10,3,8. Chi phí bán hàng,218.760.025.641,ASM,2024,selling_expense,s2,
296074828785.0,ASM_financial_statements_2024_consolidated,14,11,3,9. Chi phí quản lý doanh nghiệp,296.074.828.785,ASM,2024,admin_expense,s3,
13573523231898.0,DBC_financial_statements_2024_consolidated,8,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,13.573.523.231.898,DBC,2024,net_revenue,s4,
469098857795.0,DBC_financial_statements_2024_consolidated,8,10,3,9. Chi phí bán hàng,(469.098.857.795),DBC,2024,selling_expense,s5,
391719812986.0,DBC_financial_statements_2024_consolidated,8,11,3,10. Chi phí quản lý doanh nghiệp,(391.719.812.986),DBC,2024,admin_expense,s6,
30897225625237.0,MCH_financial_statements_2024_consolidated,9,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10 = 01 - 02),30.897.225.625.237,MCH,2024,net_revenue,s7,
5903986348153.0,MCH_financial_statements_2024_consolidated,9,10,3,Chi phí bán hàng,5.903.986.348.153,MCH,2024,selling_expense,s8,
975922898666.0,MCH_financial_statements_2024_consolidated,9,11,3,Chi phí quản lý doanh nghiệp,975.922.898.666,MCH,2024,admin_expense,s9,
14735237500445.0,MPC_financial_statements_2024_consolidated,6,3,3,Doanh thu thuần về bán hàng(10 = 01 - 02),14.735.237.500.445,MPC,2024,net_revenue,s10,
795803846157.0,MPC_financial_statements_2024_consolidated,6,10,3,Chi phí bán hàng,795.803.846.157,MPC,2024,selling_expense,s11,
310134483301.0,MPC_financial_statements_2024_consolidated,6,11,3,Chi phí quản lý doanh nghiệp,310.134.483.301,MPC,2024,admin_expense,s12,
83177720000000.0,MSN_financial_statements_2024_consolidated,6,3,3,Doanh thu thuần,83.177.720,MSN,2024,net_revenue,s13,
14565375000000.0,MSN_financial_statements_2024_consolidated,6,10,3,Chi phí bán hàng,14.565.375,MSN,2024,selling_expense,s14,
3916974000000.0,MSN_financial_statements_2024_consolidated,6,11,3,Chi phí quản lý doanh nghiệp,3.916.974,MSN,2024,admin_expense,s15,
1006899164283.0,OGC_financial_statements_2024_consolidated,7,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),1.006.899.164.283,OGC,2024,net_revenue,s16,
180844467757.0,OGC_financial_statements_2024_consolidated,7,10,4,Chi phí bán hàng,180.844.467.757,OGC,2024,selling_expense,s17,
90701525971.0,OGC_financial_statements_2024_consolidated,7,11,4,Chi phí quản lý doanh nghiệp,90.701.525.971,OGC,2024,admin_expense,s18,
10243265405026.0,QNS_financial_statements_2024_consolidated,10,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10.243.265.405.026,QNS,2024,net_revenue,s19,
862662368859.0,QNS_financial_statements_2024_consolidated,10,9,4,Chi phí bán hàng,862.662.368.859,QNS,2024,selling_expense,s20,
240538806846.0,QNS_financial_statements_2024_consolidated,10,10,4,Chi phí quản lý doanh nghiệp,240.538.806.846,QNS,2024,admin_expense,s21,
7830527770434.0,ASM_financial_statements_2024_consolidated,12,2,3,I. Nợ ngắn hạn,7.830.527.770.434,ASM,2024,current_liabilities,s22,
-968840658331.0,ASM_financial_statements_2024_consolidated,15,20,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(968.840.658.331),ASM,2024,cfo,s23,
6420694102809.0,DBC_financial_statements_2024_consolidated,7,2,3,I. Nợ ngắn hạn,6.420.694.102.809,DBC,2024,current_liabilities,s24,
1125820977761.0,DBC_financial_statements_2024_consolidated,9,16,3,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,1.125.820.977.761,DBC,2024,cfo,s25,
14600189597321.0,MCH_financial_statements_2024_consolidated,8,3,3,Nợ ngắn hạn,14.600.189.597.321,MCH,2024,current_liabilities,s26,
9227283460294.0,MCH_financial_statements_2024_consolidated,11,20,2,Lưu chuyển tiền thuần từ hoạt động kinh doanh,9.227.283.460.294,MCH,2024,cfo,s27,
4260372921032.0,MPC_financial_statements_2024_consolidated,5,3,3,Nợ ngắn hạn,4.260.372.921.032,MPC,2024,current_liabilities,s28,
