candidate_id,ticker,report_year,scope,doc_id,table_id,row_idx,col_idx,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score,source_type,source_id,computed_answer
c0001,MWG,2017,consolidated,MWG_financial_statements_2017_consolidated,33,2,1,Chi phí khấu hao và hao mòn,Năm nay | 3.633.714.629.390,25. CHI PHÍ BÁN HÀNG,677.599.450.628,677599450628.0,1.0,677599450628.0,depreciation and amortisation selector,100.0,NumericCandidate,s1,154.8946637283446
c0002,MWG,2017,consolidated,MWG_financial_statements_2017_consolidated,34,2,1,Chi phí khấu hao và hao mòn,Năm nay | 1.286.336.464.061,===== PAGE 32 ===== Công ty Cổ phần Đầu tư Thế Giới Di Động B09-DN/HN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày 26. CHI PHÍ QUẢN LÝ DOANH NGHIỆP,12.114.258.004,12114258004.0,1.0,12114258004.0,depreciation and amortisation selector,100.0,NumericCandidate,s2,
c0003,MWG,2018,consolidated,MWG_financial_statements_2018_consolidated,39,2,1,Chi phí khấu hao và hao mòn,Năm nay | 4.642.223.762.206,27. CHI PHÍ BÁN HÀNG,1.145.925.271.537,1145925271537.0,1.0,1145925271537.0,depreciation and amortisation selector,100.0,NumericCandidate,s3,
c0004,MWG,2018,consolidated,MWG_financial_statements_2018_consolidated,40,2,1,Chi phí khấu hao và hao mòn,Năm nay | 1.647.677.224.230,===== PAGE 34 ===== Công ty Cổ phần Đầu tư Thế Giới Di Động B09-DN/HN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày 28. CHI PHÍ QUẢN LÝ DOANH NGHIỆP,76.943.412.180,76943412180.0,1.0,76943412180.0,depreciation and amortisation selector,100.0,NumericCandidate,s4,
c0005,MWG,2020,consolidated,MWG_financial_statements_2020_consolidated,43,4,1,Chi phí khấu hao và hao mòn,Năm nay | 15.333.798.830.787 | 7.196.997.006.794,26. CHI PHÍ BÁN HÀNG VÀ CHI PHÍ QUẢN LÝ DOANH NGHIỆP,2.086.784.686.604,2086784686604.0,1.0,2086784686604.0,depreciation and amortisation selector,100.0,NumericCandidate,s5,
c0006,MWG,2020,consolidated,MWG_financial_statements_2020_consolidated,43,9,1,Chi phí khấu hao và hao mòn,Năm nay | 15.333.798.830.787 | 7.196.997.006.794,26. CHI PHÍ BÁN HÀNG VÀ CHI PHÍ QUẢN LÝ DOANH NGHIỆP,64.588.564.350,64588564350.0,1.0,64588564350.0,depreciation and amortisation selector,100.0,NumericCandidate,s6,
c0007,MWG,2022,consolidated,MWG_financial_statements_2022_consolidated,39,4,1,Chi phí khấu hao và hao mòn,Năm nay | 22.336.838.067.678 | 10.131.871.427.527,26. CHI PHÍ BÁN HÀNG VÀ CHI PHÍ QUẢN LÝ DOANH NGHIỆP,3.495.397.235.835,3495397235835.0,1.0,3495397235835.0,depreciation and amortisation selector,100.0,NumericCandidate,s7,
c0008,MWG,2022,consolidated,MWG_financial_statements_2022_consolidated,39,8,1,Chi phí khấu hao và hao mòn,Năm nay | 22.336.838.067.678 | 10.131.871.427.527,26. CHI PHÍ BÁN HÀNG VÀ CHI PHÍ QUẢN LÝ DOANH NGHIỆP,139.825.183.621,139825183621.0,1.0,139825183621.0,depreciation and amortisation selector,100.0,NumericCandidate,s8,
c0009,MWG,2022,consolidated,MWG_financial_statements_2022_consolidated,19,17,1,GIÁ TRỊ THUÀN,Số cuối năm | 8.005.144.461.815 | 5.607.472.781.483,===== PAGE 24 ===== Công ty Cổ phần Đầu tư Thế Giới Di Động B09-DN/HN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày 10. HÀNG TÔN KHO,25.696.077.735.282,25696077735282.0,1.0,25696077735282.0,ending net inventory,100.0,NumericCandidate,s9,
c0010,MWG,2022,consolidated,MWG_financial_statements_2022_consolidated,7,10,3,8. Vay ngắn hạn,Số cuối năm | 31.901.514.096.473 | 26.000.264.096.473,===== PAGE 8 ===== Công ty Cổ phần Đầu tư Thế Giới Di Động B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2022 VND,10.688.138.631.456,10688138631456.0,1.0,10688138631456.0,ending short-term borrowings,100.0,NumericCandidate,s10,
c0011,MWG,2022,consolidated,MWG_financial_statements_2022_consolidated,7,14,3,1. Vay dài hạn | -,Số cuối năm | 31.901.514.096.473 | 26.000.264.096.473,===== PAGE 8 ===== Công ty Cổ phần Đầu tư Thế Giới Di Động B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2022 VND,5.901.250.000.000,5901250000000.0,1.0,5901250000000.0,ending long-term borrowings,100.0,NumericCandidate,s11,
